id,file,education,gender,siglaUf,siglaPartido,region,occupation,ethnicity,age_group
73643,1999.pkl,undergraduate,M,SP,PPB,Sudeste,other,,40-50
73645,1999.pkl,undergraduate,F,SP,PSDB,Sudeste,judge/lawyer/prosecutor,,50-60
73646,1999.pkl,other,M,MT,PSDB,Centro-Oeste,other,,40-50
73651,1999.pkl,elementary school,M,MT,PFL,Centro-Oeste,other,,40-50
73652,1999.pkl,high school,F,MT,PMDB,Centro-Oeste,other,,40-50
73653,1999.pkl,undergraduate,M,MT,PL*,Centro-Oeste,dentist/medic,,40-50
73654,1999.pkl,undergraduate,M,DF,PCdoB,Distrito Federal,dentist/medic,BRANCA,30-40
73658,1999.pkl,other,M,DF,PPB,Distrito Federal,other,,60-70
73659,1999.pkl,other,F,DF,PT,Distrito Federal,other,,50-60
73660,1999.pkl,other,M,DF,PFL,Distrito Federal,other,,60-70
73661,1999.pkl,other,M,DF,PPB,Distrito Federal,other,,50-60
73662,1999.pkl,other,M,GO,PCdoB,Centro-Oeste,other,,50-60
73663,1999.pkl,high school,M,GO,PMDB,Centro-Oeste,other,,30-40
73666,1999.pkl,other,M,GO,PSDB,Centro-Oeste,other,BRANCA,40-50
73667,1999.pkl,undergraduate,F,GO,PSDB,Centro-Oeste,other,,60-70
73672,1999.pkl,undergraduate,M,GO,PL*,Centro-Oeste,dentist/medic,,40-50
73673,1999.pkl,other,M,GO,PT,Centro-Oeste,other,,50-60
73674,1999.pkl,other,M,GO,PPB,Centro-Oeste,other,PARDA,50-60
73677,1999.pkl,other,M,GO,PFL,Centro-Oeste,other,,40-50
73678,1999.pkl,high school,M,GO,PMDB,Centro-Oeste,other,,30-40
73681,1999.pkl,other,M,BA,PFL,Nordeste,other,,50-60
73682,1999.pkl,undergraduate,M,SP,PMDB,Sudeste,public servant,BRANCA,40-50
73683,1999.pkl,high school,M,RS,PT,Sul,teacher,,30-40
73684,1999.pkl,undergraduate,M,RS,PT,Sul,broker/economist/banker,,30-40
73685,1999.pkl,other,M,AL,PST,Nordeste,other,,60-70
73686,1999.pkl,undergraduate,F,RS,PT,Sul,other,,30-40
73687,1999.pkl,undergraduate,F,SE,PCdoB,Nordeste,other,,30-40
73688,1999.pkl,high school,M,SP,PSB,Sudeste,other,,60-70
73689,1999.pkl,other,M,RS,PT,Sul,other,,50-60
73690,1999.pkl,undergraduate,M,RN,PDT,Nordeste,dentist/medic,,40-50
73691,1999.pkl,other,M,PA,PSDB,Norte,other,,50-60
73692,1999.pkl,undergraduate,M,RS,PMDB,Sul,dentist/medic,BRANCA,40-50
73693,1999.pkl,undergraduate,M,RJ,PMDB,Sudeste,dentist/medic,,40-50
73758,1999.pkl,undergraduate,M,MS,PMDB,Centro-Oeste,other,,40-50
73760,1999.pkl,other,F,MS,PSDB,Centro-Oeste,other,,50-60
73761,1999.pkl,other,M,MS,PTB,Centro-Oeste,other,,60-70
73764,1999.pkl,high school,M,PR,PFL,Sul,other,,40-50
73765,1999.pkl,other,M,PR,PFL,Sul,other,,60-70
73767,1999.pkl,other,M,PR,PSDB,Sul,other,,50-60
73768,1999.pkl,undergraduate,M,PR,PPB,Sul,other,BRANCA,40-50
73771,1999.pkl,undergraduate,M,PR,PT,Sul,other,,40-50
73772,1999.pkl,undergraduate,M,PR,PMDB,Sul,other,BRANCA,30-40
73775,1999.pkl,other,M,PR,PTB,Sul,other,,40-50
73776,1999.pkl,high school,M,PR,PPB,Sul,other,,40-50
73777,1999.pkl,undergraduate,M,PR,PFL,Sul,engineer/architect,,40-50
73778,1999.pkl,other,M,PR,PSDB,Sul,other,BRANCA,40-50
73780,1999.pkl,other,M,PR,PSDB,Sul,other,,50-60
73781,1999.pkl,other,M,PR,PPB,Sul,other,BRANCA,50-60
73782,1999.pkl,undergraduate,M,PR,PSDB,Sul,veterinarian/agronomist/,,50-60
73783,1999.pkl,other,M,PR,PT,Sul,other,,50-60
73788,1999.pkl,undergraduate,M,PR,PPB,Sul,engineer/architect,BRANCA,30-40
73790,1999.pkl,other,M,PR,PFL,Sul,other,,50-60
73792,1999.pkl,other,M,PR,PFL,Sul,other,,50-60
73793,1999.pkl,other,M,SC,PMDB,Sul,other,BRANCA,40-50
73794,1999.pkl,other,M,SC,PMDB,Sul,other,BRANCA,50-60
73795,1999.pkl,undergraduate,M,SC,PPB,Sul,other,BRANCA,40-50
73817,1999.pkl,other,M,MS,PMDB,Centro-Oeste,other,BRANCA,40-50
73825,1999.pkl,high school,M,RJ,PFL,Sudeste,other,,30-40
73827,1999.pkl,high school,M,TO,PSDB,Norte,other,,30-40
73828,1999.pkl,other,M,AM,PFL,Norte,other,,40-50
73829,1999.pkl,other,M,RJ,PPB,Sudeste,other,,30-40
73832,1999.pkl,undergraduate,M,CE,PFL,Nordeste,judge/lawyer/prosecutor,,30-40
73833,1999.pkl,undergraduate,M,AC,PFL,Norte,engineer/architect,,40-50
73873,1999.pkl,other,M,SC,PMDB,Sul,other,,40-50
73874,1999.pkl,undergraduate,M,SC,PPB,Sul,other,BRANCA,30-40
73875,1999.pkl,undergraduate,M,SC,PFL,Sul,public servant,,40-50
73884,1999.pkl,other,M,SC,PFL,Sul,other,,50-60
