id,file,education,gender,siglaUf,siglaPartido,region,occupation,ethnicity,age_group
74095,51.pkl,other,M,AM,PFL,Norte,other,PARDA,40-50
74097,51.pkl,other,M,RO,PMDB,Norte,other,,40-50
74099,51.pkl,undergraduate,M,RO,PDT,Norte,judge/lawyer/prosecutor,,40-50
74100,51.pkl,other,M,RO,PSDB,Norte,other,,30-40
74102,51.pkl,undergraduate,M,SE,PSB,Nordeste,judge/lawyer/prosecutor,,30-40
74103,51.pkl,other,M,CE,PSDB,Nordeste,other,BRANCA,50-60
74108,51.pkl,high school,M,MG,PSDB,Sudeste,other,,30-40
74109,51.pkl,high school,M,RO,others,Norte,other,,40-50
74111,51.pkl,undergraduate,M,MT,PSDB,Centro-Oeste,dentist/medic,,40-50
74120,51.pkl,high school,M,MG,PMDB,Sudeste,other,,30-40
74122,51.pkl,other,M,MT,PSDB,Centro-Oeste,other,,60-70
74124,51.pkl,other,M,MS,PSDB,Centro-Oeste,other,BRANCA,30-40
74125,51.pkl,other,M,BA,PMDB,Nordeste,other,,60-70
74131,51.pkl,other,M,BA,PFL,Nordeste,other,,50-60
74133,51.pkl,other,M,BA,PT,Nordeste,other,PRETA,40-50
74134,51.pkl,other,M,SP,PMDB,Sudeste,other,,30-40
74136,51.pkl,high school,M,RS,PT,Sul,others,,40-50
74137,51.pkl,undergraduate,M,SP,PT,Sudeste,judge/lawyer/prosecutor,,40-50
74177,51.pkl,other,F,RO,PSDB,Norte,other,BRANCA,30-40
74185,51.pkl,other,F,AC,PTB,Norte,other,,50-60
74186,51.pkl,undergraduate,M,TO,PTB,Norte,other,PARDA,40-50
74187,51.pkl,other,M,TO,PFL,Norte,other,,50-60
74188,51.pkl,undergraduate,F,TO,PMDB,Norte,judge/lawyer/prosecutor,,50-60
74189,51.pkl,undergraduate,M,TO,PMDB,Norte,other,BRANCA,40-50
74190,51.pkl,high school,M,TO,PFL,Norte,other,,40-50
